feature,source_between_board_cv_median,monotonicity_abs_spearman,board_invariant_score,b1_deviation_from_source_median,b5_deviation_from_source_median,b1_high_conc_deviation,b5_high_conc_deviation,b1_specific_failure_score
s2_raw_late_mean,0.09086214872668777,0.4424242424242424,0.40557300749747655,0.089985956034199,0.16178860451485197,0.08711772188366179,0.17270087569248005,-0.07180264848065297
s2_raw_final,0.09165843592359096,0.43769199144964654,0.40094225175784026,0.09000234686693268,0.163224595165454,0.08519126965501062,0.17272940624266603,-0.07322224829852134
s1_phys_rs_r0_final,0.011519985351821636,0.309090909090909,0.3055707386576279,0.00441734383502181,0.005759795779618335,0.007747626119203104,0.008734031331025353,-0.0013424519445965248
s2_raw_max,0.0940477900992435,0.3109813909927431,0.2842484522221221,0.09041063929071387,0.1660055996266916,0.08749416705552963,0.17125524965002342,-0.07559496033597772
s1_phys_derivative_min,0.0729627302828057,0.2727272727272727,0.2541814967379051,0.08163265306207595,0.15689990281844987,0.020408163263912146,0.14965986394558908,-0.07526724975637392
s1_raw_final,0.1113965942381041,0.2613993837824278,0.2351990145890495,0.02462256204237661,0.061685997537743675,0.033694032268515625,0.06920235858225883,-0.037063435495367066
s2_phys_baseline_mean,0.09288897749772501,0.19999999999999998,0.18300120517083016,0.08472840611028137,0.17062272882915858,0.08028223958795767,0.1783131318248093,-0.0858943227188772
s2_raw_early_mean,0.09288897749772501,0.19999999999999998,0.18300120517083016,0.08472840611028137,0.17062272882915858,0.08028223958795767,0.1783131318248093,-0.0858943227188772
s2_phys_derivative_min,0.1220146004278592,0.20060882941442132,0.17879342152760125,0.07499999999999901,0.2000000000000921,0.1500000000000307,0.43499999999660277,-0.1250000000000931
n_points,0.0003799764668609189,0.17575757575757575,0.17569081738152723,0.0015754595090234653,0.01600883591047389,0.0016671529196015504,0.019439003042554078,-0.014433376401450424
s1_raw_median,0.10969132117142291,0.18845071854082002,0.16982264792508772,0.026455026455026343,0.0682605003592657,0.029786400156770542,0.07446600039192636,-0.04180547390423936
s2_phys_recovery_slope,1.497228031695213,0.38181818181818183,0.1528968027637385,0.6810229987202228,1.3003346864406673,0.7507666799285168,1.2486774219961598,-0.6193116877204445
s1_phys_baseline_mean,0.10729112455085817,0.16363636363636364,0.14778079586137582,0.03310371628585955,0.06992907082852576,0.042745679371181906,0.09552357589182567,-0.03682535454266621
s1_raw_early_mean,0.10729112455085817,0.16363636363636364,0.14778079586137582,0.03310371628585955,0.06992907082852576,0.042745679371181906,0.09552357589182567,-0.03682535454266621
s1_raw_q90,0.10968325715322555,0.15197638592001614,0.1369547435633979,0.025961413958306395,0.06623073934999356,0.02602615563900046,0.07160429884759811,-0.040269325391687164
s1_phys_derivative_mean,1.0141549009325028,0.2121212121212121,0.10531524264742763,2.0330720473076127,2.588259538392106,2.8670936626063948,16.602858284681833,-0.5551874910844932
s2_phys_rs_r0_final,0.009477229295300527,0.09090909090909088,0.09005561321333917,0.003171769362484568,0.005774924198020155,0.0033217023293513797,0.006536942642882843,-0.002603154835535587
s1_phys_recovery_slope,2.81190096946305,0.10303030303030303,0.02702858858497996,0.891120309747075,1.8908255423778093,0.16451897770809376,2.024132132650013,-0.9997052326307343
s1_raw_late_mean,0.10984873370363793,0.01818181818181818,0.016382248886426407,0.025864631349066636,0.060676592330643056,0.02862398581641148,0.07059318917679301,-0.03481196098157642
s2_phys_derivative_mean,1.5699959742628966,0.0303030303030303,0.0117910808446778,1.0135085668046033,2.6738296585196815,0.9247837397684315,33.95577799160116,-1.6603210917150781
duration_s,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
