feature,board,n,linear_intercept,linear_gain_slope,linear_r2,quadratic_intercept,quadratic_gain,quadratic_curvature,quadratic_r2,high_conc_mean_residual_quad,high_conc_abs_residual_quad
s2_phys_normalized_response,B2,40,0.2160078081804499,0.004011191280457946,0.9221305244342286,0.1293305186011121,0.008345055759424834,-3.939876799060807e-05,0.9790670432603021,-0.0007358093881265071,0.01247016294899698
s2_phys_normalized_response,B3,40,0.2009996659003289,0.0039550056265041655,0.927842482405343,0.1131840096112735,0.00834578844095693,-3.991620740411604e-05,0.9883289966007622,-0.00038109811232755103,0.009721604675328352
s2_phys_normalized_response,B4,20,0.17692373053123686,0.004025770765196715,0.9357652569027688,0.08853676237354807,0.008445119173081151,-4.0175894617131224e-05,0.9954110639970134,0.0005520589886894856,0.0039382979272745144
s2_phys_normalized_response,B5,20,0.18171782263006803,0.0038356814166351735,0.9203143315891481,0.09941141858941688,0.007951001618667729,-3.741200183665958e-05,0.9763485084068352,-0.0020051195368048966,0.018199885994067595
s2_phys_response_magnitude,B1,40,3.2216765227382353,0.07758401800267586,0.7648663701692111,1.6489228960756108,0.15622169933580707,-0.0007148880121193745,0.8064284272091222,-0.00492623488521297,1.200368765941
s2_phys_response_magnitude,B2,40,5.144022378352556,0.09607676718720609,0.8236235894460932,3.229302516594463,0.19181276027511074,-0.000870327209890042,0.8668786685886487,-0.02688949590318594,1.0822716452795098
s2_phys_response_magnitude,B3,40,4.415310802019849,0.08512687962998618,0.7430010998881278,2.5017332756028017,0.18080575595083848,-0.0008698079665532023,0.7926469285310598,0.008291473431693674,1.3032831847457282
s2_phys_response_magnitude,B4,20,3.7220815480549234,0.08380021684546764,0.9292194803783509,1.8035000030022577,0.1797292940981008,-0.0008720825204784826,0.993625010409983,0.02571661917099159,0.17741553374652064
s2_phys_response_magnitude,B5,20,4.508084090694859,0.09257956067353275,0.8339605217332206,2.505061462901989,0.19273069206317614,-0.0009104648308149395,0.8855809477663104,-0.07650049742253599,1.1475098853217949
s1_phys_rs_r0_min,B1,40,0.7041874788504312,-0.00420148224646788,0.8826725771049022,0.8116841595020918,-0.009576316279050912,4.8862127568936637e-05,0.9590771388654307,0.00011019233718181458,0.020746680619078636
s1_phys_rs_r0_min,B2,40,0.7189437966645704,-0.004189930534510401,0.9093159867594072,0.8198984305319589,-0.009237662227879818,4.5888469939721955e-05,0.9791212725386392,0.0006677151890362674,0.009053832433284026
s1_phys_rs_r0_min,B3,40,0.7541835151463434,-0.004228900521474565,0.924610170477715,0.8547152798397013,-0.009255488756142453,4.5696256678798974e-05,0.9937049049839748,0.0006115586625911144,0.008813845726171962
s1_phys_rs_r0_min,B4,20,0.7101849351461464,-0.004252087954226422,0.9030946659989004,0.8229937379364543,-0.009892528093741802,5.1276728541048875e-05,0.9871469252356948,-0.0006113412321112899,0.0070076529486198524
s1_phys_rs_r0_min,B5,20,0.7285811495631092,-0.004108022941549692,0.9060131503526387,0.8314798320582308,-0.009252957066305773,4.677212840687344e-05,0.9811794241083551,0.0016788549179113192,0.018330175968244922
s1_phys_normalized_response,B1,40,0.2958125211495689,0.00420148224646788,0.8826725771049021,0.18831584049790817,0.009576316279050914,-4.886212756893665e-05,0.9590771388654306,-0.00011019233718193022,0.02074668061907865
s1_phys_normalized_response,B2,40,0.28105620333542947,0.004189930534510402,0.9093159867594073,0.18010156946804107,0.009237662227879818,-4.588846993972195e-05,0.9791212725386392,-0.0006677151890362535,0.009053832433284012
s1_phys_normalized_response,B3,40,0.24581648485365667,0.004228900521474564,0.924610170477715,0.14528472016029875,0.009255488756142453,-4.569625667879898e-05,0.9937049049839748,-0.0006115586625911607,0.008813845726171998
s1_phys_normalized_response,B4,20,0.28981506485385333,0.004252087954226425,0.9030946659989004,0.17700626206354553,0.009892528093741807,-5.127672854104889e-05,0.9871469252356949,0.0006113412321111141,0.007007652948619898
s1_phys_normalized_response,B5,20,0.27141885043689085,0.004108022941549692,0.9060131503526387,0.16852016794176922,0.00925295706630577,-4.6772128406873424e-05,0.9811794241083551,-0.0016788549179113654,0.018330175968244915
