source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source
B5,1,B3,raw,XGBoost,20,40,9.53107399547385,7.287865424156189,0.889889246657942,True
B5,1,B4,raw,XGBoost,20,20,14.341587945532753,10.789028358459472,0.7506895214552117,True
B1,1,B2,physics,LinearRegression,40,40,200.7607722629477,197.5199903461827,-47.854409308624426,False
B1,1,B3,physics,LinearRegression,40,40,218.1706418827417,204.41478213665312,-56.69506542973034,False
B1,1,B4,physics,LinearRegression,40,20,337.98373260698384,333.2884659350309,-137.46424667508987,False
B1,1,B5,physics,LinearRegression,40,20,464.4545547394206,251.4015032309983,-260.4764041432648,False
B2,1,B1,physics,LinearRegression,40,40,220.69711705844352,205.89817852328923,-58.03905148837373,False
B2,1,B3,physics,LinearRegression,40,40,203.88330974947053,161.4947223063096,-49.385944235634604,False
B2,1,B4,physics,LinearRegression,40,20,189.4184903912956,186.1891167951059,-42.49013879044526,False
B2,1,B5,physics,LinearRegression,40,20,382.9117962996799,285.84734521705553,-176.722962115694,False
B3,1,B1,physics,LinearRegression,40,40,116.88433630692388,115.46168890530876,-15.559937059284948,False
B3,1,B2,physics,LinearRegression,40,40,26.134861988073723,20.518051734760245,0.17208362286586576,False
B3,1,B4,physics,LinearRegression,40,20,124.53773352701711,122.2901215937045,-17.799572208540994,False
B3,1,B5,physics,LinearRegression,40,20,432.71143346822527,402.01065818439145,-225.9565874595471,False
B4,1,B1,physics,LinearRegression,20,40,92.7240488831228,85.75006764331434,-9.421514231854239,False
B4,1,B2,physics,LinearRegression,20,40,51.63672688732479,45.42772287736835,-2.2319412892559654,False
B4,1,B3,physics,LinearRegression,20,40,99.1738536008639,82.57441784871972,-10.921761500661315,False
B4,1,B5,physics,LinearRegression,20,20,479.5362940920153,361.4447131770354,-277.7334028503076,False
B5,1,B1,physics,LinearRegression,20,40,23.25028193673968,19.672986027095334,0.344756836196505,True
B5,1,B2,physics,LinearRegression,20,40,39.00186932912186,37.15116317147857,-0.8438131044435109,True
B5,1,B3,physics,LinearRegression,20,40,10.482371525215449,8.072894524773897,0.8668119844937604,True
B5,1,B4,physics,LinearRegression,20,20,13.047236740257087,11.398308399069442,0.7936601375074978,True
B1,1,B2,physics,RandomForest,40,40,6.237779302363943,4.8256250000000005,0.9528364962121212,False
B1,1,B3,physics,RandomForest,40,40,10.385156925872616,9.590625,0.869270928030303,False
B1,1,B4,physics,RandomForest,40,20,9.155391171326324,8.202499999999999,0.8983985606060606,False
B1,1,B5,physics,RandomForest,40,20,7.7936472527309055,7.287499999999999,0.9263746212121212,False
B2,1,B1,physics,RandomForest,40,40,8.160621912575046,6.738749999999999,0.9192778787878788,False
B2,1,B3,physics,RandomForest,40,40,7.389068149976693,6.695625,0.9338202083333333,False
