source_boards,n_source_boards,target_board,feature_set,model,n_train,n_test,rmse,mae,r2,includes_B5_source,n_source_samples,n_target_samples,centroid_dist,cov_fro_dist,cov_fro_dist_norm,pca_centroid_dist,pca_cov_fro_dist,pca_explained_var
B1+B3+B5,3,B2,physics,RandomForest,100,40,5.331058759758703,4.186249999999999,0.9655512878787879,True,100,40,3.380741726582894,25.199293654501414,0.41186938106110066,1.648637024428033,23.424201820447227,0.8418123576946493
B1+B4+B5,3,B2,physics,RandomForest,80,40,4.901417205768144,3.8468749999999994,0.9708801325757576,True,80,40,3.6608295861039166,27.900515750526928,0.443237272005246,2.0644438056374232,25.527487016583986,0.8482533354094709
B3+B4+B5,3,B2,physics,RandomForest,80,40,9.314222994968501,7.138749999999999,0.8948427272727273,True,80,40,3.7556603412523955,26.340504940133858,0.42272917674535976,1.9510614633786336,24.626886997185785,0.8297305815841569
B1+B3+B4+B5,4,B2,physics,RandomForest,120,40,6.372039753877874,5.101875,0.950784375,True,120,40,3.349566271258361,23.529039091436193,0.3962389893677918,1.8545682024119827,21.645234635472715,0.8199039451843625
B1+B2,2,B3,physics,RandomForest,80,40,7.583703745532258,6.86875,0.930287803030303,False,80,40,5.090552620457784,16.84883166187089,0.2621373826841994,4.682889884209528,10.454307064765674,0.8171613946864008
B1+B4,2,B3,physics,RandomForest,60,40,7.606587400076331,6.7893750000000015,0.9298664583333334,False,60,40,5.523844904461695,20.854754746209096,0.32606322569940394,5.386236438960645,13.486494861043823,0.8138523335544585
B1+B5,2,B3,physics,RandomForest,60,40,7.361955625036054,6.286875,0.9343049810606061,True,60,40,4.686257015120191,30.33360685883278,0.4675866309657176,4.551222988037802,28.078290798182064,0.8700228007453827
B2+B4,2,B3,physics,RandomForest,60,40,5.213259836704861,4.463125,0.967056875,False,60,40,4.56010177624842,19.49594459537601,0.2906975680044635,4.185886935988962,14.233023834699544,0.8027184206749166
B2+B5,2,B3,physics,RandomForest,60,40,5.179083533792442,4.15,0.9674873863636364,True,60,40,4.093672333102049,29.139878649375,0.4355489225576709,3.190177287443832,26.731149482560102,0.8650814023178256
B4+B5,2,B3,physics,RandomForest,40,40,4.109541108810082,3.4168749999999988,0.9795292992424243,True,40,40,4.399524394486338,37.156043004301154,0.5221924202274821,3.6618556538473683,34.22478749042781,0.8656373663760102
B1+B2+B4,3,B3,physics,RandomForest,100,40,5.492379664134664,4.5131250000000005,0.9634348674242424,False,100,40,4.730483407030993,16.860745349267575,0.2666290756164628,4.430507886457261,9.688648685595274,0.7899391289264682
B1+B2+B5,3,B3,physics,RandomForest,100,40,5.771367905444948,4.97375,0.9596258333333333,True,100,40,4.203836962393532,24.17423075841194,0.39282427653323143,3.902719717992968,21.933712251595043,0.8418123576946493
B1+B4+B5,3,B3,physics,RandomForest,80,40,5.49752501131191,4.6775,0.9633663257575757,True,80,40,4.3422126486945505,26.747665760158185,0.4326353844613993,3.949782556726288,24.138348132056073,0.8397453664093129
B2+B4+B5,3,B3,physics,RandomForest,80,40,5.252215306420711,3.9643749999999995,0.9665627083333334,True,80,40,3.9041151746497444,26.45601672354705,0.4162225911626494,2.9719304698021367,23.690344092577963,0.8297305815841569
