source_boards,source_tuple,target_board,source_count,rmse,mae,r2,includes_B5_source,source_trace,source_intrinsic_dim_95,source_volume_95,source_top5_volume,source_effective_rank,centroid_dist_full,centroid_dist_pca5,high_conc_source_trace,high_conc_centroid_dist
B4+B5,"('B4', 'B5')",B3,2,4.109541108810082,3.4168749999999988,0.9795292992424243,True,132.77211507518356,5,126.24174881932485,126.24174881932485,5.1334023300197105,4.826482296965682,3.575828529761935,138.41809082027117,5.770107162016833
B1+B2+B4,"('B1', 'B2', 'B4')",B3,3,5.492379664134664,4.5131250000000005,0.9634348674242424,False,44.41633727081986,6,42.502192390462326,41.853467125500565,4.552721652524472,4.335275782873698,3.6858202151428783,26.327798173206194,4.584084083078402
B1+B2+B5,"('B1', 'B2', 'B5')",B3,3,5.771367905444948,4.97375,0.9596258333333333,True,83.60647987317402,8,80.56788223210295,73.90461723449238,6.593761409981452,4.36377543979008,3.94379314468049,76.32512235497501,4.888627444941298
B1+B4+B5,"('B1', 'B4', 'B5')",B3,3,5.49752501131191,4.6775,0.9633663257575757,True,94.70351096149525,7,90.67345732480531,84.88796919015542,6.431658548442597,4.574628007122049,3.7725960731583355,86.68927363652608,5.117834441054907
B2+B4+B5,"('B2', 'B4', 'B5')",B3,3,5.252215306420711,3.9643749999999995,0.9665627083333334,True,88.99767324845561,8,85.94761055661542,77.32066841544358,6.609919744288769,3.8847142873638214,3.1444721330605954,84.39978728734268,4.4799831552059945
B1+B2+B4+B5,"('B1', 'B2', 'B4', 'B5')",B3,4,5.633028992025516,4.550625000000001,0.9615381628787879,True,77.95977760609094,9,75.15212159027585,66.26186479365131,7.177985289473634,4.089344277969808,3.4949792137822335,68.52482706253532,4.487173998034167
B1,"('B1',)",B4,1,9.155391171326324,8.202499999999999,0.8983985606060606,False,35.404482523209126,4,34.17911947391603,34.59826209501643,2.820748253342857,6.6872627523541155,5.367863042281256,8.906382057034445,7.662056564396927
B2,"('B2',)",B4,1,5.8220861810866396,5.04,0.9589131060606061,False,35.9659283150052,4,34.37951107768101,34.91042078608185,3.122723019112883,5.529370331327511,2.264855699036802,19.520060561780088,5.849537044514902
B3,"('B3',)",B4,1,4.046920125231039,3.245000000000001,0.9801484090909091,False,40.54113759390366,5,39.40546639541041,39.40546639541041,3.540377694742906,5.347105701861172,1.568606996227418,16.86374056605233,5.461996029456305
B5,"('B5',)",B4,1,5.113346506936528,3.9349999999999996,0.9683075,True,210.34727388629167,4,201.0880807549628,205.99211634557315,3.7859208274470495,8.066586999402722,5.629042140253705,241.04560676719007,10.058843891811957
B1+B2,"('B1', 'B2')",B4,2,8.728358952288799,7.5525,0.9076554545454545,False,42.838050701422524,5,40.92095288559521,40.92095288559521,3.929972550097808,5.489736779297213,3.3819579386143848,25.2239110195258,5.942892283125239
B1+B3,"('B1', 'B3')",B4,2,4.178090173751638,3.6349999999999993,0.9788406818181818,False,48.03056257292606,5,45.904700178395416,45.904700178395416,4.2684850065296205,5.12336027615446,2.512924285919978,25.419796838019543,5.632133101829178
B1+B5,"('B1', 'B5')",B4,2,7.3470189532898305,6.397499999999999,0.9345712878787878,True,109.24009320245806,6,104.54891236105944,101.62229969066473,5.656182913275596,5.8057204038190395,3.666555859113262,104.02603510658396,6.8569632566006105
B2+B3,"('B2', 'B3')",B4,2,5.601191279540452,4.34375,0.9619717045454546,False,42.36118220471193,6,40.89048320144919,40.021141242615236,4.247290776059575,5.004824175469168,1.0116562226919275,23.61903054319659,5.10551140535083
B2+B5,"('B2', 'B5')",B4,2,4.740480592724749,3.786249999999999,0.9727610227272727,True,102.12642524269381,7,98.79190768763628,93.8332873240507,5.824733445807713,5.624595223396179,2.821119599351593,103.36911585664896,6.147993244020456
B3+B5,"('B3', 'B5')",B4,2,3.5736492203348655,3.0262499999999988,0.9845200378787878,True,105.95727209007242,7,101.8141441169457,96.48604691546268,6.01060808953945,5.433356250270521,1.8829721012087726,102.35937363107587,5.8485642990530895
B1+B2+B3,"('B1', 'B2', 'B3')",B4,3,4.927559614048317,4.05375,0.9705686742424242,False,46.738815957532076,6,44.478019278201316,43.62497546008153,4.747706744964293,4.964901510084598,2.073629459725582,27.789466203815167,5.266908851455904
B1+B2+B5,"('B1', 'B2', 'B5')",B4,3,6.676446472488192,5.6625000000000005,0.9459697727272727,True,83.60647987317402,8,80.56788223210295,73.90461723449238,6.593761409981452,5.30672781539042,2.8855720098736417,76.32512235497501,5.849965043091376
B1+B3+B5,"('B1', 'B3', 'B5')",B4,3,4.124026400254973,3.6012500000000003,0.9793847348484849,True,87.57017142797615,8,84.03975505913803,76.48044878795982,6.857450146244486,5.022815777680806,1.9713499544388953,76.49728567706615,5.597160821213489
B2+B3+B5,"('B2', 'B3', 'B5')",B4,3,5.301859933080089,3.86625,0.9659276136363636,True,81.31878517142249,8,77.80772911154308,70.84485187298125,6.855377323497137,5.096890801859958,1.5214119515177063,73.51332493241236,5.320561615007037
B1+B2+B3+B5,"('B1', 'B2', 'B3', 'B5')",B4,4,4.847202801616618,4.092499999999999,0.9715207575757576,True,74.83610311719248,9,71.78941118236425,63.37778385132989,7.282972688728188,4.939436872512897,1.8644950669869746,63.506719719066076,5.300084733622825
B1,"('B1',)",B5,1,7.7936472527309055,7.287499999999999,0.9263746212121212,False,35.404482523209126,4,34.17911947391603,34.59826209501643,2.820748253342857,8.94899076726111,8.57173790086963,8.906382057034445,10.784761939289591
B2,"('B2',)",B5,1,5.068000098658247,4.0225,0.9688671212121212,False,35.9659283150052,4,34.37951107768101,34.91042078608185,3.122723019112883,6.853045023167748,5.206118137845206,19.520060561780088,9.183222059107319
B3,"('B3',)",B5,1,4.202220395219652,2.9787500000000016,0.9785955681818181,False,40.54113759390366,5,39.40546639541041,39.40546639541041,3.540377694742906,7.108673311415886,6.241444476103366,16.86374056605233,9.345856992081616
B4,"('B4',)",B5,1,9.522624375664515,7.402499999999999,0.890084393939394,False,27.93768557385736,4,26.896393807017954,27.2809298917657,2.1123676932928506,8.066586999402722,5.629042140253705,2.765988773500886,10.058843891811957
B1+B2,"('B1', 'B2')",B5,2,5.039943576073049,4.49125,0.9692108712121212,False,42.838050701422524,5,40.92095288559521,40.92095288559521,3.929972550097808,7.484305654970215,6.689921925006711,25.2239110195258,9.44336805436793
B1+B3,"('B1', 'B3')",B5,2,3.303851918594414,2.429999999999999,0.9867691666666667,False,48.03056257292606,5,45.904700178395416,45.904700178395416,4.2684850065296205,7.409598185246521,6.847825026010682,25.419796838019543,9.448742459587297
B1+B4,"('B1', 'B4')",B5,2,5.879245806223788,5.128750000000001,0.9581023863636363,False,42.50594269879235,5,40.89249546111902,40.89249546111902,3.6328359122729204,8.071053392173933,7.289860407260572,20.38991703993857,9.91067516620554
B2+B3,"('B2', 'B3')",B5,2,3.3356361836986954,2.2112500000000006,0.9865133712121212,False,42.36118220471193,6,40.89048320144919,40.021141242615236,4.247290776059575,6.649380299880617,5.500731432874703,23.61903054319659,8.93752257235478
B2+B4,"('B2', 'B4')",B5,2,4.02181551043804,3.3649999999999993,0.9803939393939394,False,39.68033412996653,5,37.93884843930003,37.93884843930003,3.9033806227182235,6.79744201456413,5.243209364571179,21.495232034570233,9.074361063338323
B3+B4,"('B3', 'B4')",B5,2,3.349057703295063,2.6474999999999995,0.9864046212121212,False,42.25662571565904,6,40.96879382859278,40.12029472642826,4.279477675248654,7.001791962488092,5.9988060416007984,18.744981917486232,9.237270385458276
B1+B2+B3,"('B1', 'B2', 'B3')",B5,3,3.1689755836863123,2.38375,0.9878273863636363,False,46.738815957532076,6,44.478019278201316,43.62497546008153,4.747706744964293,7.015404011606231,6.219050044732189,27.789466203815167,9.100386290008657
B1+B2+B4,"('B1', 'B2', 'B4')",B5,3,3.894792195997112,3.076250000000001,0.981612840909091,False,44.41633727081986,6,42.502192390462326,41.853467125500565,4.552721652524472,7.28037612273205,6.349113721908728,26.327798173206194,9.269679242884365
B1+B3+B4,"('B1', 'B3', 'B4')",B5,3,3.224951550023659,2.2649999999999997,0.9873935606060606,False,47.931430277503914,6,45.848426669314044,44.564255172752205,4.801716949050935,7.26194671518244,6.545305416720776,25.887782857593432,9.305036680087813
B2+B3+B4,"('B2', 'B3', 'B4')",B5,3,4.338137561212185,3.275,0.9771885606060606,False,43.213350106195,7,41.72050774423386,39.9107110512394,4.858980705181264,6.661655158994742,5.5117972015103405,23.523642433442394,8.942534115082967
B1+B2+B3+B4,"('B1', 'B2', 'B3', 'B4')",B5,4,3.5204314366281877,2.372500000000001,0.9849776515151515,False,46.87273948050167,7,44.69399262440462,42.60987809187612,5.21930112014131,6.96149002265106,6.095196634039837,27.539653887076142,9.057791432762079
