target,source_boards,shots_per_conc,repeat,method,n_adapt,n_holdout,rmse,highconc_rmse
B1,B2+B3+B4+B5,10,2,linear_recalibration,100,60,15.243012197975414,17.07045238380894
B1,B2+B3+B4+B5,10,2,residual_ridge,100,60,11.371340729424302,11.251639507672268
B1,B2+B3+B4+B5,10,2,rf_retraining,100,60,17.506030706905293,21.803166889691806
B1,B2+B3+B4+B5,10,2,rf_weighted_retraining,100,60,11.093499931975515,11.676715249261912
B1,B2+B3+B4+B5,10,3,no_adaptation,100,60,13.890775566300585,20.56953822470932
B1,B2+B3+B4+B5,10,3,mean_std_alignment,100,60,14.571185183460418,14.08698196794367
B1,B2+B3+B4+B5,10,3,linear_recalibration,100,60,13.145471820803449,15.546591874641214
B1,B2+B3+B4+B5,10,3,residual_ridge,100,60,12.338152526637966,11.949826672597325
B1,B2+B3+B4+B5,10,3,rf_retraining,100,60,12.759564313936488,13.7897573367847
B1,B2+B3+B4+B5,10,3,rf_weighted_retraining,100,60,9.547929773671514,11.730513129083693
B1,B2+B3+B4+B5,10,4,no_adaptation,100,60,15.8587843691333,21.335998368693435
B1,B2+B3+B4+B5,10,4,mean_std_alignment,100,60,15.672190298610943,13.994687136186059
B1,B2+B3+B4+B5,10,4,linear_recalibration,100,60,15.16015451253233,15.785034585836675
B1,B2+B3+B4+B5,10,4,residual_ridge,100,60,13.188019338008393,13.502139719128738
B1,B2+B3+B4+B5,10,4,rf_retraining,100,60,17.818178919294752,15.123156963518229
B1,B2+B3+B4+B5,10,4,rf_weighted_retraining,100,60,11.859517197093147,10.588690682533434
