target_board,source_boards,source_count,y_true,mean_signed_error,median_signed_error,mae,pred_mean,n
B1,B3+B4,2,100.0,-18.55,-15.912500000000001,18.55,81.45,4
B1,B3+B4+B5,3,10.0,0.625,0.4500000000000002,0.625,10.625,4
B1,B3+B4+B5,3,20.0,-3.1812500000000004,-2.8875,3.3187499999999996,16.81875,4
B1,B3+B4+B5,3,30.0,-4.9125,-4.199999999999999,4.9125,25.0875,4
B1,B3+B4+B5,3,40.0,-5.750000000000001,-5.262500000000001,5.750000000000001,34.25,4
B1,B3+B4+B5,3,50.0,-8.212499999999999,-7.3125,8.212499999999999,41.7875,4
B1,B3+B4+B5,3,60.0,-11.781250000000002,-10.662500000000001,11.781250000000002,48.21875,4
B1,B3+B4+B5,3,70.0,-14.3,-12.4875,14.3,55.7,4
B1,B3+B4+B5,3,80.0,-15.58125,-13.6375,15.58125,64.41875,4
B1,B3+B4+B5,3,90.0,-17.875,-17.4625,17.875,72.125,4
B1,B3+B4+B5,3,100.0,-19.05625,-16.7125,19.05625,80.94375,4
B1,B3+B5,2,10.0,1.19375,1.1749999999999998,1.19375,11.19375,4
B1,B3+B5,2,20.0,-3.38125,-2.7625,3.38125,16.61875,4
B1,B3+B5,2,30.0,-4.39375,-3.7750000000000004,5.1812499999999995,25.60625,4
B1,B3+B5,2,40.0,-4.062499999999999,-3.849999999999998,5.675,35.9375,4
B1,B3+B5,2,50.0,-6.812500000000002,-5.837500000000002,6.812500000000002,43.1875,4
B1,B3+B5,2,60.0,-10.8625,-10.425,10.8625,49.1375,4
B1,B3+B5,2,70.0,-12.568749999999998,-11.612499999999997,12.568749999999998,57.431250000000006,4
B1,B3+B5,2,80.0,-14.624999999999998,-12.5125,14.624999999999998,65.375,4
B1,B3+B5,2,90.0,-16.55625,-15.625,16.55625,73.44375,4
B1,B3+B5,2,100.0,-19.762499999999996,-18.262499999999996,19.762499999999996,80.23750000000001,4
B1,B4,1,10.0,9.2,9.025,9.2,19.2,4
B1,B4,1,20.0,2.4875,2.2249999999999996,2.4875,22.4875,4
B1,B4,1,30.0,-2.4125000000000005,-2.6125000000000007,2.562500000000001,27.5875,4
B1,B4,1,40.0,-5.718749999999999,-5.549999999999999,5.718749999999999,34.28125,4
B1,B4,1,50.0,-8.3125,-8.05,8.3125,41.6875,4
B1,B4,1,60.0,-11.60625,-10.224999999999998,11.60625,48.39375,4
B1,B4,1,70.0,-14.8375,-13.25,14.8375,55.162499999999994,4
B1,B4,1,80.0,-19.1125,-17.975,19.1125,60.8875,4
B1,B4,1,90.0,-25.099999999999998,-23.95,25.099999999999998,64.9,4
B1,B4,1,100.0,-30.550000000000004,-29.025000000000006,30.550000000000004,69.44999999999999,4
B1,B4+B5,2,10.0,2.0625,1.9750000000000005,2.0625,12.0625,4
B1,B4+B5,2,20.0,-3.2437499999999995,-3.2874999999999996,3.2437499999999995,16.75625,4
B1,B4+B5,2,30.0,-4.90625,-4.0,4.90625,25.09375,4
B1,B4+B5,2,40.0,-6.1499999999999995,-5.824999999999999,6.5249999999999995,33.85,4
B1,B4+B5,2,50.0,-6.80625,-5.900000000000002,7.63125,43.19375,4
B1,B4+B5,2,60.0,-8.775,-7.5,8.799999999999999,51.225,4
B1,B4+B5,2,70.0,-8.650000000000002,-6.012500000000003,10.3875,61.349999999999994,4
B1,B4+B5,2,80.0,-9.787500000000001,-7.825000000000003,9.875,70.2125,4
B1,B4+B5,2,90.0,-11.8875,-9.887499999999996,11.8875,78.1125,4
B1,B4+B5,2,100.0,-15.76875,-13.399999999999999,15.76875,84.23125,4
B1,B5,1,10.0,7.69375,7.5375,7.69375,17.69375,4
B1,B5,1,20.0,0.8687499999999995,0.8499999999999996,1.7562500000000005,20.86875,4
B1,B5,1,30.0,-3.625,-3.0875000000000004,3.625,26.375,4
B1,B5,1,40.0,-6.237500000000002,-5.962500000000002,6.237500000000002,33.7625,4
B1,B5,1,50.0,-8.662499999999998,-8.274999999999999,8.662499999999998,41.337500000000006,4
B1,B5,1,60.0,-11.21875,-10.1375,11.21875,48.78125,4
B1,B5,1,70.0,-10.0375,-7.974999999999998,10.575000000000001,59.962500000000006,4
B1,B5,1,80.0,-11.9375,-9.900000000000002,11.9375,68.0625,4
B1,B5,1,90.0,-14.249999999999996,-12.637499999999996,14.249999999999996,75.75,4
B1,B5,1,100.0,-19.91875,-18.0,19.91875,80.08125,4
B2,B1,1,10.0,4.3500000000000005,4.575,4.3500000000000005,14.350000000000001,4
B2,B1,1,20.0,4.562499999999999,2.9000000000000004,4.562499999999999,24.5625,4
B2,B1,1,30.0,5.262499999999999,5.9375,5.262499999999999,35.2625,4
B2,B1,1,40.0,1.112499999999999,1.0124999999999993,1.3499999999999996,41.1125,4
B2,B1,1,50.0,3.75,3.75,3.75,53.75,4
B2,B1,1,60.0,2.3750000000000018,3.337500000000002,3.4625000000000004,62.375,4
B2,B1,1,70.0,3.2624999999999993,4.075000000000003,4.275000000000002,73.2625,4
B2,B1,1,80.0,0.6062500000000028,1.1625000000000014,1.7562500000000014,80.60625,4
B2,B1,1,90.0,-5.768750000000001,-6.075000000000003,5.768750000000001,84.23125,4
B2,B1,1,100.0,-13.718750000000004,-14.162500000000001,13.718750000000004,86.28125,4
B2,B1+B3,2,10.0,2.0625,2.1375,2.0625,12.0625,4
B2,B1+B3,2,20.0,4.125,3.5374999999999996,4.525,24.125,4
B2,B1+B3,2,30.0,3.59375,4.074999999999999,3.59375,33.59375,4
B2,B1+B3,2,40.0,1.4062500000000018,0.4750000000000014,1.543750000000001,41.40625,4
B2,B1+B3,2,50.0,6.15,6.6875,6.15,56.15,4
B2,B1+B3,2,60.0,5.943749999999998,6.512499999999996,5.943749999999998,65.94375,4
B2,B1+B3,2,70.0,6.362500000000001,5.75,6.362500000000001,76.3625,4
B2,B1+B3,2,80.0,6.787500000000001,7.162500000000001,6.787500000000001,86.7875,4
B2,B1+B3,2,90.0,0.2875000000000014,-0.25,1.4874999999999972,90.2875,4
B2,B1+B3,2,100.0,-7.881250000000005,-7.900000000000006,7.881250000000005,92.11874999999999,4
B2,B1+B3+B4,3,10.0,1.96875,1.4749999999999996,1.96875,11.96875,4
B2,B1+B3+B4,3,20.0,4.49375,4.225,4.78125,24.49375,4
B2,B1+B3+B4,3,30.0,5.081250000000001,5.737500000000001,5.081250000000001,35.08125,4
B2,B1+B3+B4,3,40.0,3.0312500000000018,2.775000000000002,3.0312500000000018,43.03125,4
B2,B1+B3+B4,3,50.0,8.362499999999999,8.3875,8.362499999999999,58.3625,4
B2,B1+B3+B4,3,60.0,7.350000000000001,7.450000000000003,7.350000000000001,67.35,4
B2,B1+B3+B4,3,70.0,7.356249999999996,5.787499999999994,7.356249999999996,77.35624999999999,4
B2,B1+B3+B4,3,80.0,7.299999999999997,8.549999999999997,7.299999999999997,87.3,4
B2,B1+B3+B4,3,90.0,0.16875000000000284,-0.38749999999999574,1.03125,90.16875,4
B2,B1+B3+B4,3,100.0,-7.474999999999998,-7.399999999999999,7.474999999999998,92.525,4
B2,B1+B3+B4+B5,4,10.0,1.9250000000000003,1.1875,1.9250000000000003,11.925,4
B2,B1+B3+B4+B5,4,20.0,4.6625,4.3125,4.85,24.6625,4
B2,B1+B3+B4+B5,4,30.0,4.7375,5.425000000000001,4.7375,34.7375,4
B2,B1+B3+B4+B5,4,40.0,3.1125000000000007,3.3000000000000007,3.1125000000000007,43.1125,4
B2,B1+B3+B4+B5,4,50.0,7.774999999999999,7.6875,7.774999999999999,57.775,4
B2,B1+B3+B4+B5,4,60.0,6.256250000000001,6.100000000000001,6.256250000000001,66.25625,4
B2,B1+B3+B4+B5,4,70.0,6.96875,5.375,6.96875,76.96875,4
B2,B1+B3+B4+B5,4,80.0,6.28125,7.725000000000001,6.28125,86.28125,4
B2,B1+B3+B4+B5,4,90.0,-0.8312500000000007,-1.5750000000000028,1.6437500000000007,89.16875,4
B2,B1+B3+B4+B5,4,100.0,-7.46875,-7.825000000000003,7.46875,92.53125,4
B2,B1+B3+B5,3,10.0,1.5187499999999998,1.1749999999999998,1.5187499999999998,11.51875,4
B2,B1+B3+B5,3,20.0,3.8625000000000007,3.2125000000000004,4.25,23.8625,4
B2,B1+B3+B5,3,30.0,3.043750000000001,3.4250000000000007,3.043750000000001,33.04375,4
B2,B1+B3+B5,3,40.0,0.8812499999999996,-0.05000000000000071,1.5687499999999996,40.88125,4
B2,B1+B3+B5,3,50.0,6.375,6.449999999999999,6.375,56.375,4
B2,B1+B3+B5,3,60.0,4.968750000000002,5.4375000000000036,4.968750000000002,64.96875,4
B2,B1+B3+B5,3,70.0,4.568749999999998,3.737499999999997,4.568749999999998,74.56875,4
B2,B1+B3+B5,3,80.0,4.850000000000001,5.550000000000004,4.850000000000001,84.85,4
B2,B1+B3+B5,3,90.0,-2.043750000000003,-2.7250000000000014,2.84375,87.95625,4
B2,B1+B3+B5,3,100.0,-7.875,-7.8125,7.875,92.125,4
B2,B1+B4,2,10.0,2.98125,2.7375,2.98125,12.98125,4
B2,B1+B4,2,20.0,3.1624999999999996,1.5999999999999996,3.6500000000000004,23.1625,4
B2,B1+B4,2,30.0,5.206249999999999,5.412499999999998,5.206249999999999,35.20625,4
B2,B1+B4,2,40.0,1.9749999999999996,1.9124999999999979,2.4374999999999982,41.975,4
B2,B1+B4,2,50.0,4.962499999999999,5.637499999999999,4.962499999999999,54.9625,4
B2,B1+B4,2,60.0,1.0,1.4749999999999979,2.1999999999999993,61.0,4
B2,B1+B4,2,70.0,6.068749999999998,7.587499999999999,6.068749999999998,76.06875,4
B2,B1+B4,2,80.0,0.9312499999999986,0.9624999999999986,1.6937500000000014,80.93125,4
B2,B1+B4,2,90.0,-4.974999999999998,-4.587499999999999,4.974999999999998,85.025,4
B2,B1+B4,2,100.0,-10.84375,-10.8125,10.84375,89.15625,4
B2,B1+B4+B5,3,10.0,1.9375,1.2250000000000005,1.9375,11.9375,4
B2,B1+B4+B5,3,20.0,3.1625000000000005,2.0500000000000007,3.4750000000000005,23.1625,4
B2,B1+B4+B5,3,30.0,3.6875,4.125,3.6875,33.6875,4
B2,B1+B4+B5,3,40.0,1.1125000000000007,0.875,1.9375,41.1125,4
B2,B1+B4+B5,3,50.0,3.5187500000000007,3.012500000000003,3.5187500000000007,53.51875,4
B2,B1+B4+B5,3,60.0,2.6875,2.8874999999999993,3.8500000000000014,62.6875,4
B2,B1+B4+B5,3,70.0,5.574999999999999,5.599999999999994,5.574999999999999,75.575,4
B2,B1+B4+B5,3,80.0,1.3562499999999993,1.7999999999999972,2.2812499999999964,81.35625,4
B2,B1+B4+B5,3,90.0,-3.3062499999999986,-2.0999999999999943,3.3062499999999986,86.69375,4
B2,B1+B4+B5,3,100.0,-8.899999999999999,-8.912500000000001,8.899999999999999,91.1,4
B2,B1+B5,2,10.0,1.9187499999999997,1.4124999999999996,1.9187499999999997,11.91875,4
B2,B1+B5,2,20.0,3.2375000000000007,1.4250000000000007,3.75,23.2375,4
B2,B1+B5,2,30.0,2.98125,3.4875000000000007,2.98125,32.98125,4
B2,B1+B5,2,40.0,0.2062500000000007,-0.125,1.1687499999999993,40.20625,4
B2,B1+B5,2,50.0,1.8374999999999986,0.8125,2.3125,51.8375,4
B2,B1+B5,2,60.0,0.7437500000000004,1.0374999999999979,2.6937499999999996,60.74375,4
B2,B1+B5,2,70.0,2.8374999999999986,2.7874999999999943,3.0874999999999986,72.8375,4
B2,B1+B5,2,80.0,0.5500000000000007,0.10000000000000142,2.1999999999999993,80.55,4
B2,B1+B5,2,90.0,-3.1875,-1.9750000000000014,3.637500000000003,86.8125,4
B2,B1+B5,2,100.0,-8.462500000000002,-8.5625,8.462500000000002,91.5375,4
B2,B3,1,10.0,2.61875,3.05,2.61875,12.61875,4
B2,B3,1,20.0,1.7062499999999998,1.0625,3.41875,21.70625,4
B2,B3,1,30.0,-2.0062499999999988,-1.799999999999999,3.10625,27.993750000000002,4
B2,B3,1,40.0,-4.262499999999999,-5.012499999999999,4.262499999999999,35.7375,4
B2,B3,1,50.0,-2.65625,-2.5249999999999986,3.1187499999999986,47.34375,4
B2,B3,1,60.0,-6.106249999999999,-7.287499999999998,6.106249999999999,53.89375,4
B2,B3,1,70.0,-5.03125,-4.975000000000001,5.293750000000003,64.96875,4
B2,B3,1,80.0,-6.2499999999999964,-5.887499999999996,6.2499999999999964,73.75,4
B2,B3,1,90.0,-11.974999999999998,-11.637499999999996,11.974999999999998,78.025,4
B2,B3,1,100.0,-14.231250000000003,-14.037500000000001,14.231250000000003,85.76875,4
B2,B3+B4,2,10.0,1.775,1.7374999999999998,1.775,11.775,4
B2,B3+B4,2,20.0,0.46875000000000044,-0.5999999999999996,3.631250000000001,20.46875,4
B2,B3+B4,2,30.0,-1.5687500000000005,-1.4625000000000004,2.91875,28.43125,4
B2,B3+B4,2,40.0,-3.8999999999999986,-4.162499999999998,3.8999999999999986,36.1,4
B2,B3+B4,2,50.0,-1.5687499999999996,-1.6875,4.88125,48.43125,4
B2,B3+B4,2,60.0,-4.8375,-4.775000000000002,4.8375,55.1625,4
