target_board,source_boards,source_count,regime,mae,bias,pred_mean,n
B2,B1+B4+B5,3,high_>=80,4.829166666666665,-3.616666666666666,86.38333333333333,12
B2,B1+B4+B5,3,low_<=30,3.0333333333333337,2.929166666666667,22.929166666666664,12
B2,B1+B4+B5,3,mid_40_70,3.7203125000000004,3.2234375,58.2234375,16
B2,B1+B5,2,high_>=80,4.766666666666668,-3.7000000000000006,86.3,12
B2,B1+B5,2,low_<=30,2.8833333333333333,2.7125000000000004,22.712500000000002,12
B2,B1+B5,2,mid_40_70,2.3156249999999994,1.4062499999999996,56.40625,16
B2,B3,1,high_>=80,10.81875,-10.81875,79.18124999999999,12
B2,B3,1,low_<=30,3.047916666666667,0.772916666666667,20.772916666666667,12
B2,B3,1,mid_40_70,4.6953125,-4.5140625,50.4859375,16
B2,B3+B4,2,high_>=80,9.727083333333335,-9.727083333333335,80.27291666666666,12
B2,B3+B4,2,low_<=30,2.7750000000000004,0.22499999999999995,20.224999999999998,12
B2,B3+B4,2,mid_40_70,4.7546875,-3.8484375,51.1515625,16
B2,B3+B4+B5,3,high_>=80,14.460416666666667,-14.460416666666667,75.53958333333334,12
B2,B3+B4+B5,3,low_<=30,2.8937500000000003,0.68125,20.681250000000002,12
B2,B3+B4+B5,3,mid_40_70,4.831249999999999,-4.393749999999999,50.60625,16
B2,B3+B5,2,high_>=80,13.956250000000002,-13.956250000000002,76.04375,12
B2,B3+B5,2,low_<=30,2.8541666666666674,0.06250000000000015,20.0625,12
B2,B3+B5,2,mid_40_70,5.0875,-5.0218750000000005,49.978125,16
B2,B4,1,high_>=80,17.497916666666665,-17.497916666666665,72.50208333333333,12
B2,B4,1,low_<=30,4.060416666666666,3.2187499999999996,23.21875,12
B2,B4,1,mid_40_70,4.740625,-2.5531250000000005,52.446875,16
B2,B4+B5,2,high_>=80,7.037500000000001,-6.366666666666667,83.63333333333334,12
B2,B4+B5,2,low_<=30,2.8145833333333337,0.5645833333333329,20.56458333333333,12
B2,B4+B5,2,mid_40_70,4.371875000000001,-1.2031250000000007,53.796875,16
B2,B5,1,high_>=80,8.839583333333334,-8.385416666666668,81.61458333333333,12
B2,B5,1,low_<=30,3.8625000000000003,2.608333333333333,22.608333333333334,12
B2,B5,1,mid_40_70,5.085937500000002,-3.6640624999999996,51.3359375,16
B5,B1,1,high_>=80,6.7416666666666645,-5.324999999999998,84.675,6
B5,B1,1,low_<=30,7.304166666666667,7.304166666666667,27.304166666666664,6
B5,B1,1,mid_40_70,7.684374999999998,7.684374999999998,62.684374999999996,8
B5,B1+B2,2,high_>=80,4.45,-1.4750000000000014,88.52499999999999,6
B5,B1+B2,2,low_<=30,2.9041666666666663,2.9041666666666663,22.90416666666667,6
B5,B1+B2,2,mid_40_70,5.7125,5.7125,60.7125,8
B5,B1+B2+B3,3,high_>=80,4.954166666666668,-3.0125000000000006,86.9875,6
B5,B1+B2+B3,3,low_<=30,0.5916666666666668,0.48333333333333367,20.483333333333334,6
B5,B1+B2+B3,3,mid_40_70,1.799999999999999,1.4374999999999982,56.4375,8
B5,B1+B2+B3+B4,4,high_>=80,5.804166666666667,-4.854166666666669,85.14583333333333,6
B5,B1+B2+B3+B4,4,low_<=30,0.5416666666666664,0.45833333333333304,20.458333333333332,6
B5,B1+B2+B3+B4,4,mid_40_70,1.1718750000000018,-0.421875,54.578125,8
B5,B1+B2+B4,3,high_>=80,6.062500000000003,-4.554166666666667,85.44583333333333,6
B5,B1+B2+B4,3,low_<=30,1.6666666666666654,1.6666666666666654,21.666666666666668,6
B5,B1+B2+B4,3,mid_40_70,1.8937500000000016,1.6562500000000009,56.65625,8
B5,B1+B3,2,high_>=80,5.037499999999997,-4.312499999999997,85.6875,6
B5,B1+B3,2,low_<=30,1.3375000000000001,1.2708333333333337,21.270833333333332,6
B5,B1+B3,2,mid_40_70,1.2937500000000002,1.2937500000000002,56.29375,8
B5,B1+B3+B4,3,high_>=80,4.945833333333333,-4.945833333333333,85.05416666666666,6
B5,B1+B3+B4,3,low_<=30,0.995833333333333,0.995833333333333,20.995833333333334,6
B5,B1+B3+B4,3,mid_40_70,1.2062499999999998,-0.36874999999999947,54.63125,8
