model_context,feature,importance_mean,importance_std
source_high_subset,s1_phys_baseline_mean,2.3200277410317938e-05,0.00026029827103364996
source_high_subset,s1_phys_minimum_response,0.031226509888484633,0.008299046731200486
source_high_subset,s1_phys_normalized_response,0.04859983569571773,0.02036439743661076
source_high_subset,s1_phys_rs_r0_min,0.04878209906068899,0.022556835544459895
source_high_subset,s1_phys_response_magnitude,0.0016173015413727398,0.0004893319897156941
source_high_subset,s1_phys_recovery_slope,0.020756923520565587,0.007511859110000931
source_high_subset,s1_phys_derivative_min,0.0032229870572458574,0.0007963852620617936
source_high_subset,s1_phys_derivative_max,0.0008163498608355357,0.0003153960639003251
source_high_subset,s2_raw_min,0.01418409989757878,0.007296094492903684
source_high_subset,s2_raw_max,0.0008642101613022396,0.00023511579063276218
source_high_subset,s2_phys_baseline_mean,0.0025640701701205026,0.0009845372370564007
source_high_subset,s2_phys_minimum_response,0.007818677960574755,0.0048917095605979875
source_high_subset,s2_phys_normalized_response,0.06825423889669709,0.014140432423554193
source_high_subset,s2_phys_rs_r0_min,0.04530325413359826,0.010487110567470384
source_high_subset,s2_phys_response_magnitude,0.004891978753306922,0.0009523095381775673
source_high_subset,s2_phys_recovery_slope,0.004326389993477994,0.001631326311734215
source_high_subset,s2_phys_derivative_min,0.0019465007716050475,0.0004998515793014856
source_high_subset,s2_phys_derivative_max,0.0009502692464910673,0.0002704923434565896
source_high_subset,s3_raw_min,0.010968383124816461,0.0032351300376368087
source_high_subset,s3_raw_max,0.000738660714285716,0.0002881845924752044
source_high_subset,s3_phys_baseline_mean,0.0007542171769364114,0.00028869156217393305
source_high_subset,s3_phys_minimum_response,0.008480063479269051,0.0032681914506460623
source_high_subset,s3_phys_normalized_response,0.006556907542241447,0.0016845260006622088
source_high_subset,s3_phys_rs_r0_min,0.006821500780790815,0.0012321573610193008
source_high_subset,s3_phys_response_magnitude,0.0014152053938860237,0.00028554212185931177
source_high_subset,s3_phys_recovery_slope,0.002806803704622357,0.0006609301654102103
source_high_subset,s3_phys_derivative_min,0.000500470081937085,0.0001808747483801078
source_high_subset,s3_phys_derivative_max,0.0014579541446208266,0.0004265138227553919
source_high_subset,s4_raw_min,0.000574771687610276,0.00015427929930914608
source_high_subset,s4_raw_max,0.0006382104093181351,0.0003068629524134743
source_high_subset,s4_phys_baseline_mean,0.0008084126984126971,0.00015465160693265543
source_high_subset,s4_phys_minimum_response,0.0008041842252719256,0.00029458228906906674
source_high_subset,s4_phys_normalized_response,0.010901496879133915,0.002558810370041376
source_high_subset,s4_phys_rs_r0_min,0.007862684427358893,0.0018115355836257395
source_high_subset,s4_phys_response_magnitude,0.0005359215626837277,0.0005203696596062831
source_high_subset,s4_phys_recovery_slope,0.0028150482942019966,0.0005665431949435973
source_high_subset,s4_phys_derivative_min,0.0027636371527778175,0.000574067820640303
source_high_subset,s4_phys_derivative_max,4.276813271611446e-05,3.846341985955218e-05
source_high_subset,s5_raw_min,0.0020745613517784145,0.001321547186725661
source_high_subset,s5_raw_max,0.0021027475382128236,0.0003956319200023951
source_high_subset,s5_phys_baseline_mean,0.001767434333204712,0.0005424463085137501
source_high_subset,s5_phys_minimum_response,0.0013840835009738123,0.0012164565016092915
source_high_subset,s5_phys_normalized_response,0.06374061232592976,0.019256888794725948
source_high_subset,s5_phys_rs_r0_min,0.044065928360156034,0.014658742771331236
source_high_subset,s5_phys_response_magnitude,0.002891120572457398,0.0004051733706379995
source_high_subset,s5_phys_recovery_slope,0.014960449113113547,0.00535663848133894
source_high_subset,s5_phys_derivative_min,0.005672131041942183,0.0005512467692613216
source_high_subset,s5_phys_derivative_max,0.0009807792658730885,0.0005663932459822715
source_high_subset,s6_raw_min,0.004818388367596363,0.004545598983528493
source_high_subset,s6_raw_max,0.0001703929673721044,6.70021550466813e-05
source_high_subset,s6_phys_baseline_mean,0.0002899946263228148,0.0002762244849841693
source_high_subset,s6_phys_minimum_response,0.004122994527575821,0.0033786158905259934
source_high_subset,s6_phys_normalized_response,0.005394238655570344,0.0014297225590036444
source_high_subset,s6_phys_rs_r0_min,0.0052505599004262354,0.001389430848254472
source_high_subset,s6_phys_response_magnitude,0.000718953878233411,0.0002089434428479429
source_high_subset,s6_phys_recovery_slope,0.0006309361221340515,0.00022028917949174057
source_high_subset,s6_phys_derivative_min,0.0012324549437830734,0.0002843344940137223
source_high_subset,s6_phys_derivative_max,0.0017388717574221696,0.0005366075963432515
